rank_test_score,mean_test_score,std_test_score
1,-2.5666125361133614,0.180755298889217
2,-2.5737692073694443,0.19363816057025915
3,-2.5764144724627744,0.1907817452654744
4,-2.5801723870997493,0.19757884528296962
5,-2.581969922705632,0.19790140188187677
6,-2.5837615456652228,0.19774008638469037
7,-2.5894084274775957,0.1926543603407134
8,-2.590089839074125,0.18989504843676216
9,-2.5903331871022908,0.19157051385729615
10,-2.6101365961689864,0.17227399893850973
