Position,Count,MAE,RMSE,R²
WR/TE,3124,2.019032183817816,2.9328665866166395,0.7713297424651427
RB,1032,3.5230731475812176,5.062500195945644,0.5919172959272392
QB,573,4.283927357272861,5.522224834972274,0.55510481588339
